Name,Storage_details,Screen_size,Operating_system,RAM,Processor,Warranty,Price in Rupees
Asus ROG Strix G Core i7 9th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) G531GT-AL...,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Intel Core i7 Processor (9th Gen),1 Year Limited International Hardware Warranty,"89,990"
MSI GF Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) GF63 Thin 9RCX-648IN Gaming Lap...,1 TB HDD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i5 Processor (9th Gen),2 Years Carry In Warranty,"51,990"
Lenovo Legion Y530 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) Y530-15ICH Gaming L...,1 TB HDD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i5 Processor (8th Gen),1 Year Onsite Warranty,"49,990"
MSI GF63 Thin Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) GF63 Thin 9SC-460IN Ga...,512 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i7 Processor (9th Gen),2 Year Limited Hardware Warranty,"69,990"
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) L340-15...,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i5 Processor (9th Gen),1 Year Onsite Warranty,"59,798"
HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/3 GB Graphics) 15-ec00...,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,AMD Ryzen 5 Quad Core Processor,1 Year Onsite Warranty,"49,990"
MSI Core i7 9th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/6 GB Graphics) GP75 Leopard 9SE-485IN...,1 TB HDD|512 GB SSD,43.94 cm (17.3 inch) Display,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Intel Core i7 Processor (9th Gen),2 Years Limited Warranty,"1,19,990"
Asus ROG Strix G Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) G531GT-BQ002T Gamin...,512 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i5 Processor (9th Gen),1 Year Limited International Hardware Warranty,"59,990"
Dell G3 Series Core i5 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 3579 Gaming ...,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i5 Processor (8th Gen),1 Year Onsite Warranty,"54,990"
MSI Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) GF63 Thin 9SC-240IN Gaming Lapto...,512 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Intel Core i5 Processor (9th Gen),2 Years Limited Warranty,"59,990"
